Зерновые колосовые на поливе;Суғориладиган донли экинлар;3.33;0.7;0.3
Зерновые колосовые на богаре*;Бошоқли дон экинлари навлари;0;0;0
Зернобобовые;Дукакли экинлар ;3;1.5;1
Кукуруза на зерно;Дон учун маккажўхори;2.81;0.7;0.5
Сорго;-;3.5;0.7;0.5
Рис;Гуруч;3.36;0.7;0.5
Пшеница;Буғдой;3.33;0.7;0.3
Рожь озимая;Қишки жавдар ;2.88;0.7;0.3
Ячмень;Арпа;2.73;0.7;0.3
Овес;Жўхори;3.13;0.7;0.3
Хлопчатник средневолокнистый;Ўрта толалик пахта;6;0.7;0.5
Хлопчатник тонковолокнистый;Юпқа толалик пахта;6.9;0.7;0.5
Кенаф;Кенаф (Каноп);1.03;0.8;0.5
Табак;Тамаки;4.4;0.8;0.5
Масличные;Ёғ уруғлари;5.47;0.7;0.3
Подсолнечник;Кунгабоқар;5.27;0.7;0.3
Арахис;Ер ёнғоқ;5.47;0.7;0.3
Картофель;Картошка;0.68;0.7;0.5
Овощные;Сабзовотлар;0.47;0.7;0.4
Томаты;Томатлар;0.47;0.8;0.3
Огурцы;Бодринглар;0.32;0.7;0.3
Лук;Пиёз;0.27;0.8;0.4
Капуста;Карам;0.42;0.7;0.5
Морковь;Сабзи;0.34;0.7;0.5
Чеснок;Саримсоқпиёз;0.37;0.7;0.3
Бахчевые;Полиз экинлари;0.5;1;0.4
Кормовые корнеплоды;Озуқа илдиз экинлари;0.32;0.7;0.5
Сахарная свекла на корм;Озуқа учун шакар лавлаги;0.49;0.7;0.5
Кукуруза со свеклой;Лавлаги ва маккажўхори;0.49;0.7;0.5
Кукуруза и джугара на зеленый корм и силос;"Яшил ем ва силос учун маккажўхори 
ва жугара";0.37;0.7;0.5
Силос (без кукурузы);Силос (кукурузасиз);0.4;0.7;0.5
Однолетние травы на сено;Пичан учун бир йиллик ўтлар;2.02;0.5;0.5
Однолетние травы на зеленый корм;Яшил ем учун бир йиллик ўтлар;0.4;0.5;0.5
Суданская трава;Судан ўти;1.2;0.5;0.5
Многолетние травы на зеленый корм;Яшил ем учун кўп йиллик ўтлар;0.33;0.5;0.5
Многолетние травы на сено;Пичан учун кўп йиллик ўтлар;2.02;0.5;0.5
Семена кормовых корнеплодов;Озуқа илдиз экинлари уруғлари;3.91;0.7;0.4
Семена однолетних и многолетних Семена овощных культур;"Сабзавотларнинг бир йиллик ва 
кўп йиллик уруғлари";4.4;0.7;0.5
Семена бахчевых культур;Полиз экинлари уруғлари;5;1;0.5
 Сады плодоносящие;Мевали боғлар;1.6;0.7;0.5
Виноградники плодоносящие;Узумзорлар ;1.2;0.7;0.5
Плантации шелковицы;Тут плантациялари;1.8;0.7;0.5
Люцерна на сено;Пичан учун беда;0.45;3;2
Люцерна на зеленый корм;Яшим ем учун беда;0.15;3;2
Люцерна с покровом колосовых;-;2.28;0.7;0.3
Сенокосы и пастбища;Пичан ва яйловлар;1.55;0.5;0.5